500,0.000622
1000,0.002408
1500,0.005411
2000,0.010545
2500,0.015896
3000,0.024410
3500,0.034443
4000,0.045301
4500,0.057983
5000,0.073677
5500,0.089200
6000,0.106221
6500,0.130194
7000,0.153737
7500,0.173900
8000,0.209165
8500,0.232577
9000,0.259958
9500,0.305442
10000,0.323616
10500,0.368904
11000,0.387542
11500,0.449340
12000,0.470026
12500,0.525866
13000,0.571296
13500,0.624970
14000,0.668601
14500,0.703499
15000,0.760919
15500,0.813417
16000,0.867404
16500,0.950618
17000,0.981465
17500,1.034861
18000,1.090659
18500,1.175003
19000,1.257830
19500,1.311765
20000,1.363319
20500,1.434614
21000,1.473619
21500,1.599410
22000,1.702416
22500,1.749844
23000,1.806955
23500,1.903913
24000,1.965958
24500,2.073571
25000,2.110756
25500,2.244748
26000,2.332130
26500,2.534077
27000,2.592470
27500,2.669219
28000,2.739086
28500,2.859752
29000,2.945366
29500,3.021012
30000,3.151272
30500,3.219539
31000,3.343189
31500,3.505634
32000,3.576958
32500,3.705212
33000,3.796499
33500,3.908105
34000,4.082461
34500,4.184088
35000,4.315001
35500,4.524103
36000,4.621407
36500,4.798995
37000,4.875642
37500,4.949309
38000,5.066758
38500,5.324573
39000,5.450433
39500,5.537595
40000,5.655917
40500,5.807913
41000,5.932277
41500,6.064857
42000,6.175915
42500,6.300907
43000,6.468886
43500,6.638695
44000,6.831525
44500,6.973511
45000,7.152691
45500,7.233217
46000,7.470277
46500,7.601822
47000,7.883154
47500,7.973333
48000,8.087270
48500,8.258149
49000,8.461789
49500,8.616914
50000,8.725687
